title,original_lang,popularity,vote_count,vote_average
The Lorax,en,24.755,2099,6.4
Star Trek IV: The Voyage Home,en,24.721,829,7.2
The Bourne Identity,en,24.707,6054,7.4
Midsommar,en,24.706,1950,7.1
The Concubine,ko,24.706,36,6
The Hateful Eight,en,24.698,9421,7.7
Batman Returns,en,24.698,3777,6.8
Despicable Me,en,24.68,11062,7.2
Kingsman: The Secret Service,en,24.675,11410,7.6
The Mummy,en,24.663,5648,6.8
The Addams Family,en,24.654,711,6.2
The Drop,en,24.647,1374,6.7
The Intouchables,fr,24.633,11252,8.2
Barbie as The Princess & the Pauper,en,24.63,730,7.4
Rise of the Planet of the Apes,en,24.611,8080,7.2
Call Me by Your Name,en,24.609,6400,8.3
Hansel & Gretel: Witch Hunters,en,24.545,4918,5.9
The Notebook,en,24.534,7138,7.9
Wolf Warrior 3,zh,24.497,0,0
Groundhog Day,en,24.494,4621,7.5
Fate/Stay Night: Heaven's Feel III. Spring Song,ja,24.491,0,0
Mulan,en,24.491,0,0
Malik & Elsa,id,24.468,0,0
Arracht,ga,24.45,0,0
Pixels,en,24.434,4982,5.6
Thunderball,en,24.429,1179,6.7
Tangled,en,24.407,7372,7.6
Apollo 13,en,24.38,3324,7.4
Now You See Me,en,24.373,11065,7.4
Brightburn,en,24.316,1372,5.9
Wreck-It Ralph,en,24.305,8712,7.3
Heat,en,24.303,3789,7.8
Total Recall,en,24.302,3315,7.2
Constantine,en,24.293,3830,6.8
10 Things I Hate About You,en,24.284,4744,7.5
Ma,en,24.272,859,5.6
Haathi Mere Saathi,hi,24.254,0,0
Dumb and Dumber,en,24.251,3867,6.5
Dragon Ball Z: Broly ¨C The Legendary Super Saiyan,ja,24.249,437,7.2
The Hustle,en,24.243,1092,6.1
The Secret World of Arrietty,ja,24.229,1479,7.6
Alien3,en,24.167,3232,6.3
Snowpiercer,ko,24.15,5687,6.8
Tarzan,en,24.129,4278,7.4
xXx: State of the Union,en,24.118,1125,4.8
Schlingensief ¨C A Voice That Shook the Silence,de,24.103,0,0
Escape from Alcatraz,en,24.097,1418,7.5
Crawl,en,24.094,1297,6.1
12 Angry Men,en,24.083,4460,8.4
Annihilation,en,24.073,5352,6.3
The Kitchen,en,24.065,226,6.2
Tracers,en,24.059,763,5.9
The Expendables,en,24.035,5183,6.1
Mission: Impossible,en,24.011,5370,6.9
Coraline,en,24.003,3689,7.6
Shrek the Third,en,23.995,5613,6.2
RoboCop,en,23.972,3770,5.8
Goldfinger,en,23.961,2003,7.4
Nishabdham,te,23.951,0,0
The Prestige,en,23.943,9581,8.2
Batman Forever,en,23.943,3215,5.3
Hacer la vida,es,23.931,0,0
300,en,23.925,9154,7.1
Aliens,en,23.888,5791,7.9
Conan the Barbarian,en,23.873,1342,6.7
The Godfather: Part III,en,23.844,3450,7.4
Hexenkinder,de,23.81,0,0
Bikini Valley Car Wash,en,23.734,0,0
Once Upon a Deadpool,en,23.722,361,6.9
Shaun of the Dead,en,23.713,5325,7.5
Captain Fantastic,en,23.71,4100,8
Pacific Rim,en,23.694,8400,6.8
Trainwreck,en,23.666,1899,5.8
Apocalypse Now,en,23.665,4686,8.3
Lost Girls,en,23.632,200,6.2
The Gods Must Be Crazy,en,23.604,538,7.1
Pinocchio,en,23.591,3583,7
The Taming of the Scoundrel,it,23.584,259,7.1
Shrek Forever After,en,23.584,4449,6.2
Hot Girls Wanted,en,23.577,351,6
The Wolf's Call,fr,23.576,864,7.7
Away,lv,23.571,5,9
Million Dollar Baby,en,23.565,5699,7.9
Blouma,fr,23.555,0,0
Independence Day,en,23.553,6192,6.8
Shipwrecked,no,23.542,26,6.7
The Girl Who Killed Her Parents,pt,23.538,1,1.5
Tomb Raider,en,23.535,5142,6.3
Ted 2,en,23.518,4716,6.2
Commando,en,23.517,1502,6.6
Nausica? of the Valley of the Wind,ja,23.509,1751,7.9
The Sixth Sense,en,23.495,7216,7.9
Escape Plan,en,23.478,3245,6.7
Mission: Impossible - Rogue Nation,en,23.468,5825,7.1
Porco Rosso,ja,23.457,1541,7.8
Superintelligence,en,23.427,0,0
A Hidden Life,en,23.416,125,7.1
The Purge: Election Year,en,23.397,3315,6.3
Cheeky,it,23.38,100,5.6
Instant Family,en,23.368,1311,7.5
The Spy Who Dumped Me,en,23.362,1325,6.4
Clash of the Titans,en,23.352,4182,5.8
Southpaw,en,23.336,3826,7.4
Crank,en,23.335,2197,6.6
The Parts You Lose,en,23.33,12,6.4
Sing,en,23.329,4886,7
Ninja Assassin,en,23.323,725,6.2
The Book of the Sea,ru,23.318,0,0
Valerian and the City of a Thousand Planets,en,23.308,4787,6.5
The Simpsons Movie,en,23.303,5190,6.9
Fantasia 2000,en,23.286,751,7.1
The Departed,en,23.272,9196,8.1
Fantastic Four: Rise of the Silver Surfer,en,23.267,5447,5.5
Bird Box,en,23.22,6137,6.9
Point Break,en,23.212,1433,5.7
Night at the Museum,en,23.203,6806,6.5
James and the Giant Peach,en,23.202,776,6.4
Das perfekte Geheimnis,de,23.155,53,6.9
Pocahontas II: Journey to a New World,en,23.149,842,5.3
Batman & Robin,en,23.139,3113,4.3
Official Secrets,en,23.138,175,7.2
Catch Me If You Can,en,23.135,8733,7.9
Lady and the Tramp II: Scamp's Adventure,en,23.117,772,6.3
Into the Woods,en,23.114,3216,5.7
Law Abiding Citizen,en,23.092,2996,7.3
Stargate,en,23.08,1888,6.9
Weathering with You,ja,23.073,218,7.7
"Sex, Party and Lies",es,23.069,78,4
Color Out of Space,en,23.068,149,6.4
Limitless,en,23.061,7159,7.2
War Dogs,en,23.04,2773,6.8
Full Metal Jacket,en,23.029,6183,8.1
The Animal,en,23.026,672,4.7
I Kill Giants,en,23.024,733,6.1
The Hunger Games: Mockingjay - Part 2,en,23.015,8445,6.9
Robin Hood,en,22.998,1734,5.8
Divergent,en,22.967,9204,6.9
Poltergeist,en,22.952,1634,5.1
Corpse Bride,en,22.941,5144,7.4
The Lego Movie,en,22.918,5369,7.4
Rocketman,en,22.898,1990,7.4
Snow White and the Seven Dwarfs,en,22.885,4839,7.1
The World's End,en,22.884,3433,6.8
Snatch,en,22.884,5468,7.8
Love Story,te,22.86,0,0
Donnie Darko,en,22.833,7858,7.8
Boomerang,ru,22.826,0,0
Creed,en,22.819,4588,7.4
Indiana Jones and the Temple of Doom,en,22.818,5607,7.2
The Boy Who Killed My Parents,pt,22.816,0,0
War of the Worlds,en,22.808,5101,6.4
The Hunger Games: Catching Fire,en,22.795,12330,7.4
Hot Fuzz,en,22.785,4596,7.5
Little,en,22.769,278,6.5
Pan's Labyrinth,es,22.756,6880,7.7
American Pie,en,22.739,4975,6.5
Let's Be Cops,en,22.738,1858,6.3
Blade II,en,22.738,2902,6.4
Gone in Sixty Seconds,en,22.716,2682,6.3
The Golden Compass,en,22.706,3075,6
The Twilight Saga: Breaking Dawn - Part 1,en,22.681,5796,6
Sin City: A Dame to Kill For,en,22.679,2513,6.3
Kung Fu Panda,en,22.671,7033,7.1
The Mule,en,22.663,2665,6.7
Secretary,en,22.635,793,6.8
The Courier,en,22.606,71,5.5
Dial M for Murder,en,22.605,1331,8
Dragon Ball Z: Broly ¨C Second Coming,ja,22.603,334,6.6
V for Vendetta,en,22.562,9299,7.9
xXx: Return of Xander Cage,en,22.56,2745,5.6
The Criminal Man,ru,22.554,0,0
Bad Company,en,22.548,430,5.4
Sherlock Holmes: A Game of Shadows,en,22.534,7155,7.1
Okja,en,22.532,2640,7.5
"Batman: The Dark Knight Returns, Part 1",en,22.522,836,7.7
Bastille Day,en,22.512,768,6.2
A Fistful of Dollars,it,22.506,2213,7.9
Dirty Dancing,en,22.461,3683,7.3
Home Alone 2: Lost in New York,en,22.456,5802,6.6
How to Train Your Dragon: Homecoming,en,22.428,105,8.1
Galwakdi,pa,22.417,0,0
The Host,en,22.411,3064,6.3
London Has Fallen,en,22.404,2991,6
The Hitman's Bodyguard,en,22.402,3614,6.7
Jumper,en,22.373,3619,6
The Good Dinosaur,en,22.372,3578,6.7
Death Proof,en,22.368,2955,6.8
Paradise Drifters,nl,22.335,0,0
Lethal Weapon 4,en,22.324,1529,6.5
Fearless,zh,22.313,688,7.4
Batman,en,22.302,4538,7.2
The Boy Who Harnessed the Wind,en,22.301,537,8
Hulk,en,22.295,3662,5.4
It Follows,en,22.281,4006,6.5
EASY LIVING - La vita facile,it,22.278,0,0
Down by Law,en,22.275,337,7.6
Wrong Turn 3: Left for Dead,en,22.267,502,5.1
Blackhat,en,22.234,1273,5.3
A View to a Kill,en,22.234,993,6.2
Passengers,en,22.193,8990,6.9
Watchmen,en,22.18,5773,7.3
Wild Child,en,22.158,1182,6.7
Cars 2,en,22.155,4687,5.9
The Lone Ranger,en,22.136,4215,6
Rocky II,en,22.128,2450,7.1
Chaos,en,22.126,529,6.2
Norbit,en,22.123,1151,5.3
"South Park: Bigger, Longer & Uncut",en,22.105,1632,7.1
Final Fantasy VII: Advent Children,ja,22.103,525,6.8
King Kong,en,22.103,4912,6.7
Megamind,en,22.086,4196,6.8
Primal,en,22.079,55,6.5
A Fall From Grace,en,22.074,348,7.1
After Porn Ends 3,en,22.074,43,5.4
The Magnificent Seven,en,22.06,4001,6.2
Mirror Mirror,en,22.06,2389,5.9
BlacKkKlansman,en,22.048,4293,7.6
Gran Torino,en,22.043,6753,8
Private Lessons,en,22.04,38,5.7
Barbie Mariposa,en,22.039,262,6.4
The Naked Gun: From the Files of Police Squad!,en,22.033,2077,7.2
The Pursuit of Happyness,en,22.032,6079,7.9
Wind River,en,22.031,2864,7.4
The Shape of Water,en,22.03,8392,7.2
The Ant Bully,en,22.014,820,5.6
Zodiac,en,22.006,5478,7.5
Saw,en,22.005,5505,7.4
Dallas Buyers Club,en,22.002,5563,7.9
Unfaithful,en,21.994,671,6.4
Must Be... Love,en,21.981,9,6.3
Once Upon a Time in the West,it,21.969,2408,8.3
Spawn,en,21.965,670,5.2
High Strung,en,21.96,732,7.1
Anchorman: The Legend of Ron Burgundy,en,21.958,2692,6.7
Annabelle,en,21.941,4054,5.6
The Librarian: Quest for the Spear,en,21.934,351,6.2
Unbreakable,en,21.922,5943,7.1
National Treasure,en,21.915,4058,6.5
All the President's Men,en,21.911,932,7.8
Mirage,es,21.909,746,7.5
Mucize 2: A?k,tr,21.905,1,8
Die Hard 2,en,21.891,3393,6.8
The Snowman,en,21.876,1426,5.1
A Nightmare on Elm Street,en,21.872,2877,7.3
Eternal Sunshine of the Spotless Mind,en,21.872,8871,8.1
Sin City,en,21.867,5239,7.4
Turnt,en,21.84,0,0
Mission: Impossible II,en,21.84,4038,6.1
Nocturnal Animals,en,21.823,4948,7.4
Girls und Panzer das Finale: Part II,ja,21.822,11,4.4
Oldboy,en,21.822,1184,5.9
The First Purge,en,21.819,2251,5.8
Army of Darkness,en,21.815,1719,7.3
Fantastic Four,en,21.813,4218,4.4
The Expendables 2,en,21.807,4658,6.2
Sully,en,21.779,4542,7.1
Men in Black 3,en,21.765,7226,6.4
12 Years a Slave,en,21.754,7624,7.9
Murder Mystery,en,21.753,1987,6.3
Music and Lyrics,en,21.749,1067,6.4
I Am Number Four,en,21.729,3187,6.1
Ice Age: Dawn of the Dinosaurs,en,21.681,5262,6.6
E.T. the Extra-Terrestrial,en,21.675,7421,7.5
The Eagle Huntress,en,21.672,56,7.3
Jigsaw,en,21.664,2226,6.1
Slumdog Millionaire,en,21.659,6902,7.7
Only the Brave,en,21.638,745,7.1
Enemy at the Gates,en,21.632,2007,7.4
Goosebumps,en,21.631,2505,6.2
A Prayer Before Dawn,en,21.588,257,6.8
Clueless,en,21.588,2259,7.2
Shot Caller,en,21.583,1237,6.9
Kajillionaire,en,21.577,0,0
Hop,en,21.571,723,5.6
The Florida Project,en,21.564,1421,7.4
War for the Planet of the Apes,en,21.557,5840,7.1
Paradise Hills,en,21.543,118,5.7
Captain America: The Winter Soldier,en,21.538,12506,7.7
Atomic Blonde,en,21.534,4207,6.3
Sicario,en,21.528,5084,7.3
Re:Zero kara Hajimeru Isekai Seikatsu - Frozen Bonds,ja,21.525,4,7.8
Mission to Mars,en,21.5,775,5.9
Minions,en,21.489,7874,6.4
The Karate Kid,en,21.489,3628,6.4
Akira,ja,21.471,1982,7.9
The Greatest Showman,en,21.464,6072,8
The Gods Must Be Crazy II,en,21.454,198,6.6
You've Got Mail,en,21.45,1936,6.6
Independence Day: Resurgence,en,21.447,4260,5.1
Gli anni sconosciuti di Ges¨´,it,21.444,0,0
The Croods,en,21.429,4405,6.8
The Kangaroo Chronicles,de,21.428,14,6.2
LelleBelle,nl,21.427,45,4.9
Halloween,en,21.417,2594,6.4
Nutty Professor II: The Klumps,en,21.414,805,4.9
Alien Resurrection,en,21.404,2757,6
The Favourite,en,21.398,3062,7.6
Logan Lucky,en,21.381,2010,6.7
Kiki's Delivery Service,ja,21.374,1913,7.8
Into the Wild,en,21.357,6543,7.8
Kaadan,ta,21.349,0,0
Ocean's Eleven,en,21.334,7553,7.4
Tarzan II,en,21.323,671,6
Kung Fu Panda 3,en,21.314,3356,6.7
Finding Dory,en,21.311,8749,7
Transporter 2,en,21.307,2095,6.3
Mortal Engines,en,21.291,2575,6.1
Perfume: The Story of a Murderer,en,21.291,2623,7.2
Good Will Hunting,en,21.27,7000,8.1
Penguins of Madagascar,en,21.264,2562,6.4
Shark Tale,en,21.259,4237,5.9
A Good Day to Die Hard,en,21.254,4735,5.3
Upgrade,en,21.252,1849,7.4
Grimsby,en,21.249,1459,5.9
The Traitor,it,21.218,495,7.8
Are We There Yet?,en,21.214,524,5.3
Pride and Glory,en,21.193,491,6.4
No Way Out,en,21.19,0,0
Belle,en,21.186,460,7.2
Scary Stories to Tell in the Dark,en,21.179,1047,6.3
The Rescuers,en,21.175,1561,6.8
Guess Who,en,21.164,535,5.8
The Elephant Man,en,21.14,1794,8.1
Allegiant,en,21.135,4636,6
Life,en,21.124,4787,6.4
Maze Runner: The Scorch Trials,en,21.104,7041,6.6
Swallow,en,21.099,55,7
The Great Wall,en,21.094,3175,5.8
Death Race,en,21.089,2330,6.1
Mulan II,en,21.082,1310,6.3
Sweeney Todd: The Demon Barber of Fleet Street,en,21.081,3741,7.1
Murder on the Orient Express,en,21.058,6379,6.7
Charlie's Angels,en,21.057,2691,5.7
Bambi II,en,21.049,543,6.2
Lethal Weapon,en,21.048,2656,7.2
The Butterfly Effect,en,21.039,4460,7.5
The Girl Next Door,en,21.025,1781,6.4
Ocean's Eight,en,21.003,4676,6.9
Jay and Silent Bob Reboot,en,20.996,136,5.9
Come to Daddy,en,20.994,61,5.8
Bambi,en,20.98,3561,7
The Dating List,en,20.974,9,8
The SpongeBob Movie: Sponge Out of Water,en,20.966,1322,5.8
The Deer Hunter,en,20.958,2066,8
Cowboys & Aliens,en,20.933,3450,5.5
Sucker Punch,en,20.929,3054,6.1
Miracles from Heaven,en,20.915,597,7.2
The Jungle Book,en,20.914,4146,7.3
Hitch,en,20.905,3626,6.4
Charlie and the Chocolate Factory,en,20.9,9550,7
The Guns of Navarone,en,20.885,371,7.5
Mary Poppins Returns,en,20.882,2076,6.5
Wayne's World,en,20.874,1344,6.6
The Intern,en,20.866,3989,7.1
The Chronicles of Narnia: The Voyage of the Dawn Treader,en,20.86,3702,6.4
The Final Destination,en,20.845,1886,5.6
Open Season,en,20.831,1667,6.1
Mandy,en,20.81,858,6.2
The Next Three Days,en,20.796,1717,7
"Extremely Wicked, Shockingly Evil and Vile",en,20.791,1805,7
Suicide Squad,en,20.781,15091,5.9
The Great Debaters,en,20.778,311,7.2
King Arthur: Legend of the Sword,en,20.774,3789,6.5
Total Recall,en,20.773,3851,5.9
Gravity,en,20.773,10839,7.2
mother!,en,20.767,4211,7
Jack Reacher,en,20.755,4562,6.5
Drive,en,20.748,7803,7.5
The Loft,en,20.739,869,6.4
The Assassination of Jesse James by the Coward Robert Ford,en,20.735,1497,7.1
Horse Girl,en,20.732,170,5.4
The Peanut Butter Falcon,en,20.723,299,7.4
Citizen Kane,en,20.709,2909,8.1
Sexual Chronicles of a French Family,fr,20.707,177,4.5
Warcraft,en,20.704,4599,6.3
Beowulf,en,20.689,1710,5.7
Seventh Son,en,20.688,1717,5.3
Beauty and the Beast: The Enchanted Christmas,en,20.681,610,6.1
The 5th Wave,en,20.679,4082,5.9
The Man Who Knew Too Much,en,20.668,685,7.6
The Polar Express,en,20.655,3760,6.6
The Commuter,en,20.643,2831,6.2
Homefront,en,20.638,1634,6.5
Terminator Salvation,en,20.634,4260,6
Begin Again,en,20.63,2352,7.2
The Angry Birds Movie,en,20.627,2187,6
The Last House on the Left,en,20.625,943,6.4
Legends of the Fall,en,20.625,1350,7.4
The Animatrix,en,20.596,812,7
Wallace & Gromit: The Curse of the Were-Rabbit,en,20.589,1512,6.9
Mortal Kombat Legends: Scorpion¡¯s Revenge,en,20.553,0,0
A Cinderella Story: Christmas Wish,en,20.546,324,6.7
Below Her Mouth,en,20.54,498,6.2
Blow,en,20.529,2729,7.4
Eye for an Eye,es,20.527,86,6.6
Modern Times,en,20.525,2060,8.3
Yesterday,en,20.514,1522,6.7
The Wizard of Oz,en,20.514,3454,7.5
Texas Chainsaw 3D,en,20.508,919,5.3
Homeward Bound: The Incredible Journey,en,20.508,530,6.7
A Beautiful Mind,en,20.507,6356,7.8
American Psycho,en,20.505,5193,7.4
Serenity,en,20.504,813,5.3
The Vanishing,en,20.502,329,5.5
Pacific Rim: Uprising,en,20.5,2740,5.9
The 6th Day,en,20.495,1151,5.9
Violet Evergarden: Eternity and the Auto Memory Doll,ja,20.493,14,8
The Accountant,en,20.485,3798,7
Superman IV: The Quest for Peace,en,20.479,666,4.4
American Wedding,en,20.476,2576,6.1
"Mickey, Donald, Goofy: The Three Musketeers",en,20.474,482,6.4
Second Act,en,20.472,648,6.2
Vertigo,en,20.469,3027,8.2
S.W.A.T.,en,20.467,1430,6
Furry Vengeance,en,20.459,337,4.6
Dinosaur,en,20.459,1407,6.4
A Real Young Girl,fr,20.452,54,5.4
Inherent Vice,en,20.444,1606,6.6
The Wedding Ringer,en,20.443,1080,6.5
Oblivion,en,20.432,7574,6.5
The Santa Clause 3: The Escape Clause,en,20.422,599,5.3
Robots,en,20.422,2917,6.3
Time Out of Mind,en,20.419,90,5.5
The Wind Rises,ja,20.409,1480,7.8
Seven Pounds,en,20.404,4493,7.6
The Spy Who Loved Me,en,20.398,982,6.7
Come and See,ru,20.375,421,8.3
Run All Night,en,20.372,1869,6.4
Edward Scissorhands,en,20.371,8492,7.7
8 Mile,en,20.371,4075,7
Am¨¦lie,fr,20.357,7231,7.9
The Wandering Earth,zh,20.356,290,6.3
Cold Pursuit,en,20.35,1357,5.5
Sierra Burgess Is a Loser,en,20.341,2680,6.4
Before I Go to Sleep,en,20.34,1252,6.5
Molly's Game,en,20.333,2083,7.1
Kick-Ass 2,en,20.314,4238,6.4
The Boy in the Striped Pyjamas,en,20.311,4191,7.8
Transporter 3,en,20.308,2054,6.1
The Cat Returns,ja,20.295,897,7.2
Undisputed III: Redemption,en,20.28,358,7.4
Unhinged,en,20.23,0,0
The Dark Tower,en,20.218,3317,5.6
9 Songs,en,20.217,211,5.1
Barnyard,en,20.205,562,5.6
Alice Through the Looking Glass,en,20.196,4423,6.5
Public Enemies,en,20.187,2653,6.6
Black Hawk Down,en,20.172,3365,7.3
Who Framed Roger Rabbit,en,20.163,3383,7.4
Traitor,en,20.159,372,6.6
Cursed,en,20.14,350,5.3
Danger Close,en,20.135,55,6.5
Now You See Me 2,en,20.127,7614,6.8
The Untouchables,en,20.123,3289,7.8
Adrift,en,20.121,1560,6.8
The Prince,en,20.121,339,4.8
The Girl with the Dragon Tattoo,en,20.113,4447,7.3
The Carnivores,en,20.112,0,0
Madagascar,en,20.101,7121,6.8
Summertime,fr,20.096,186,6.6
Freaks,en,20.091,235,6.7
Flubber,en,20.084,1458,5.6
The Square,en,20.079,720,6.9
Hooking Up,en,20.077,3,10
Power Rangers,en,20.063,3014,6.2
Platoon,en,20.054,2488,7.7
The Huntsman: Winter's War,en,20.049,3372,6.2
A Tale of Two Sisters,ko,20.038,526,7.1
Almost Famous,en,20.034,1528,7.5
The Judge,en,20.027,2648,7.3
Prisoners,en,20.022,6679,8
Big Momma's House,en,20.012,1366,5.7
Rage,en,20.007,477,5.2
Dragonheart 3: The Sorcerer's Curse,en,20.003,144,5.2
The Fox and the Hound,en,19.999,2051,7.1
Getaway,en,19.985,427,5.1
Rango,en,19.971,3902,6.6
The Cobbler,en,19.965,1039,5.7
My Hero Academia: Heroes Rising,ja,19.962,32,8
The Italian Job,en,19.956,3513,6.7
Felon,en,19.949,453,7.2
Timmy Failure: Mistakes Were Made,en,19.947,26,6.2
Room,en,19.947,6312,8.1
American Factory,en,19.944,164,7.2
"Crouching Tiger, Hidden Dragon",zh,19.943,1845,7.3
Man on Fire,en,19.928,2885,7.4
San Andreas,en,19.924,5733,6.1
Trolls,en,19.922,2139,6.6
Allied,en,19.919,3164,6.7
Dredd,en,19.919,3165,6.7
Fargo,en,19.914,4513,7.9
Forever Young,en,19.912,481,6.3
Flushed Away,en,19.903,2299,6.1
The Expendables 3,en,19.902,3243,6.2
An Extremely Goofy Movie,en,19.9,334,6.2
The Bodyguard,en,19.895,1578,6.5
Boiler Room,en,19.886,363,6.7
Salt,en,19.871,3652,6.3
Dumbo,en,19.869,3161,7
The Grand Budapest Hotel,en,19.868,9280,8
Halloween,en,19.868,2838,7.5
The Last Samurai,en,19.863,4061,7.5
Blue Lagoon: The Awakening,en,19.86,892,6.4
RED 2,en,19.857,2650,6.5
The Exorcism of Emily Rose,en,19.856,1618,6.4
The Road to El Dorado,en,19.852,2295,7.2
The Legend of Zorro,en,19.852,1829,6
Saw V,en,19.845,1981,6.1
Fantastic Four,en,19.839,6361,5.7
A Christmas Carol,en,19.838,2917,6.8
Bullet to the Head,en,19.829,765,5.4
The Day the Earth Stood Still,en,19.827,578,7.5
Hard Target,en,19.818,510,6.2
The Man Who Knew Infinity,en,19.799,835,7.2
Orphan,en,19.795,2943,6.8
Chicken Little,en,19.791,2387,5.8
The Chronicles of Narnia: Prince Caspian,en,19.789,4113,6.6
Saving Zo?,en,19.788,59,5.9
Bridge of Spies,en,19.787,4801,7.2
The Intruder,en,19.781,194,6.1
The Fault in Our Stars,en,19.78,8181,7.6
Kronk's New Groove,en,19.763,664,6.2
Secret Society of Second Born Royals,en,19.745,0,0
Dead Poets Society,en,19.74,6822,8.3
Remember,en,19.736,379,7.4
Ultraman Taiga The Movie: New Generation Climax,ja,19.735,0,0
Long Shot,en,19.728,1049,6.6
My Mom's New Boyfriend,en,19.723,136,5.4
Gifted,en,19.714,2474,7.9
Primal Fear,en,19.705,1562,7.7
The King,en,19.703,1187,7.1
Shithouse,en,19.702,0,0
Insidious: Chapter 3,en,19.691,2111,6.2
Scary Movie,en,19.691,4002,6.2
Get the Gringo,en,19.683,951,6.5
Life of Pi,en,19.678,9605,7.3
Don't Let Them In,en,19.669,1,3
Kangaroo Jack,en,19.664,453,4.6
Ratsasan,ta,19.661,46,7.9
What Lies Beneath,en,19.66,1066,6.4
Romeo + Juliet,en,19.658,3167,6.8
Chinatown,en,19.647,2099,7.9
Fear and Loathing in Las Vegas,en,19.645,2743,7.2
Kung Fu Panda 2,en,19.636,4196,6.8
Mulholland Drive,en,19.62,3474,7.8
Bright,en,19.619,3689,6.2
The Conjuring,en,19.618,6837,7.5
Ocean's Thirteen,en,19.615,4019,6.7
National Treasure: Book of Secrets,en,19.611,3355,6.2
Vice,en,19.601,354,4.4
Candyman,en,19.596,656,6.4
The Sword in the Stone,de,19.586,2397,7.2
Edge of Tomorrow,en,19.584,9102,7.6
Unfinished Business,en,19.583,543,5.2
Isle of Dogs,en,19.582,2619,7.9
Who Am I?,cn,19.582,343,6.8
Star Trek: The Motion Picture,en,19.579,960,6.4
Death on the Nile,en,19.578,305,7
Bacurau,pt,19.575,370,8.2
Sausage Party,en,19.575,4818,5.6
Little Monsters,en,19.561,173,6.6
Cop Land,en,19.557,791,6.7
Lionheart,en,19.554,414,6.1
10 Days Without Mum,fr,19.545,28,6.5
Captain Underpants: The First Epic Movie,en,19.543,704,6
The Tourist,en,19.543,3643,6.2
The Lizzie McGuire Movie,en,19.537,761,6
No Good Deed,en,19.52,357,5.8
Oliver & Company,en,19.512,949,6.7
Lilo & Stitch,en,19.507,3655,7.4
American Pie Presents: The Naked Mile,en,19.503,1230,5.4
The Man from U.N.C.L.E.,en,19.5,3988,7.1
Mission: Impossible III,en,19.499,4087,6.6
Ice Age: Collision Course,en,19.495,2770,5.9
Pretty Baby,en,19.473,103,6.5
Pain and Glory,es,19.468,842,7.5
Creed II,en,19.464,2953,6.8
The Prince of Egypt,en,19.431,2292,7.1
Kubo and the Two Strings,en,19.427,2362,7.7
Superman: Red Son,en,19.425,180,7.4
Pocahontas,en,19.414,3755,6.9
A Beautiful Day in the Neighborhood,en,19.412,362,7.3
Atlantis: Milo's Return,en,19.407,459,5.6
The Big Short,en,19.406,5480,7.3
Unforgiven,en,19.405,2283,7.9
She's the Man,en,19.397,1763,6.6
Lemony Snicket's A Series of Unfortunate Events,en,19.396,3412,6.8
Sicario: Day of the Soldado,en,19.392,1700,6.7
The Flyboys,en,19.39,24,6.5
Source Code,en,19.387,5197,7.2
End of Days,en,19.387,966,5.7
Eternity,th,19.377,2,7.5
Dragonheart: Battle for the Heartfire,en,19.376,114,6.1
The Man with the Iron Fists,en,19.373,667,5.3
Super Mario Bros.,en,19.358,616,4.2
A Little Chaos,en,19.355,456,6.3
Casablanca,en,19.354,2992,8.1
"Sal¨°, or the 120 Days of Sodom",it,19.343,842,6.4
The Addams Family,en,19.343,2620,7
Interview with the Vampire,en,19.338,3396,7.3
The Impossible,en,19.327,4122,7.3
Addams Family Values,en,19.323,1514,6.7
Cloverfield,en,19.322,4576,6.5
Rio,en,19.318,4212,6.6
Miss Congeniality 2: Armed and Fabulous,en,19.307,1119,5.6
What We Do in the Shadows,en,19.306,1978,7.6
You Only Live Twice,en,19.306,1089,6.6
Fatherhood,en,19.305,0,0
Remember the Titans,en,19.298,1519,7.6
Coming to America,en,19.291,2199,6.7
Madagascar 3: Europe's Most Wanted,en,19.288,3883,6.5
Jack Reacher: Never Go Back,en,19.283,3086,5.7
Polar,en,19.281,1159,6.3
At Eternity's Gate,en,19.269,800,6.9
Wayne's World 2,en,19.268,579,6
Mean Girls,en,19.267,5492,7.1
Disobedience,en,19.265,525,6.9
Tron,en,19.265,1253,6.6
Moonlight,en,19.258,4654,7.4
Asterix and Cleopatra,fr,19.25,521,7
Kelly's Heroes,en,19.237,349,7.4
Melissa P.,it,19.235,328,4.1
A.I. Artificial Intelligence,en,19.23,3986,7
Insidious,en,19.229,4130,6.9
Con Air,en,19.219,2443,6.7
The Bourne Supremacy,en,19.218,4905,7.3
The Theory of Everything,en,19.215,7301,7.9
Fantastic Mr. Fox,en,19.212,2800,7.7
Kill Bill: The Whole Bloody Affair,en,19.209,488,8
Scary Movie 2,en,19.194,2755,5.7
TRON: Legacy,en,19.177,4843,6.4
Leaving Las Vegas,en,19.169,707,7.2
Little Children,en,19.149,479,7.2
The Idiots,da,19.138,262,6.6
Beauty Salon: Special Services,ko,19.132,0,0
The Tale of Despereaux,en,19.13,540,5.8
Hitman,en,19.125,1934,5.9
The Adventures of Sharkboy and Lavagirl,en,19.113,799,4.8
Teen Titans Go! To the Movies,en,19.105,486,7.1
The Aristocats,en,19.095,3248,7.3
Prince of Persia: The Sands of Time,en,19.095,4600,6.2
Planet of the Apes,en,19.093,1875,7.6
Treasure Planet,en,19.082,2334,7.4
Night Shift,fr,19.071,0,0
The Mechanic,en,19.065,1920,6.4
Brother Bear,en,19.062,3409,7.2
